id,fish,year,biomass,F
1,Acadian redfish Gulf of Maine / Georges Bank,1913,2.37,1.13E-05
2,Acadian redfish Gulf of Maine / Georges Bank,1914,2.37,4.66E-05
3,Acadian redfish Gulf of Maine / Georges Bank,1915,2.37,6.29E-05
4,Acadian redfish Gulf of Maine / Georges Bank,1916,2.37,8.31E-05
5,Acadian redfish Gulf of Maine / Georges Bank,1917,2.37,0.000129
6,Acadian redfish Gulf of Maine / Georges Bank,1918,2.37,0.000114
7,Acadian redfish Gulf of Maine / Georges Bank,1919,2.37,3.88E-05
8,Acadian redfish Gulf of Maine / Georges Bank,1920,2.37,4.80E-05
9,Acadian redfish Gulf of Maine / Georges Bank,1921,2.37,1.96E-05
10,Acadian redfish Gulf of Maine / Georges Bank,1922,2.37,1.34E-05
12,Acadian redfish Gulf of Maine / Georges Bank,1924,2.37,6.20E-05
13,Acadian redfish Gulf of Maine / Georges Bank,1925,2.37,3.86E-05
14,Acadian redfish Gulf of Maine / Georges Bank,1926,2.38,4.64E-05
15,Acadian redfish Gulf of Maine / Georges Bank,1927,2.38,4.68E-05
16,Acadian redfish Gulf of Maine / Georges Bank,1928,2.38,8.89E-05
17,Acadian redfish Gulf of Maine / Georges Bank,1929,2.38,5.27E-05
18,Acadian redfish Gulf of Maine / Georges Bank,1930,2.38,8.37E-05
19,Acadian redfish Gulf of Maine / Georges Bank,1931,2.38,0.000167
20,Acadian redfish Gulf of Maine / Georges Bank,1932,2.38,9.32E-05
21,Acadian redfish Gulf of Maine / Georges Bank,1933,2.39,0.000186
22,Acadian redfish Gulf of Maine / Georges Bank,1934,2.39,0.000806
23,Acadian redfish Gulf of Maine / Georges Bank,1935,2.37,0.0118
24,Acadian redfish Gulf of Maine / Georges Bank,1936,2.33,0.037
25,Acadian redfish Gulf of Maine / Georges Bank,1937,2.26,0.0244
26,Acadian redfish Gulf of Maine / Georges Bank,1938,2.2,0.0349
27,Acadian redfish Gulf of Maine / Georges Bank,1939,2.12,0.0446
28,Acadian redfish Gulf of Maine / Georges Bank,1940,2.03,0.049
29,Acadian redfish Gulf of Maine / Georges Bank,1941,1.91,0.0996
30,Acadian redfish Gulf of Maine / Georges Bank,1942,1.73,0.121
31,Acadian redfish Gulf of Maine / Georges Bank,1943,1.55,0.117
32,Acadian redfish Gulf of Maine / Georges Bank,1944,1.39,0.136
33,Acadian redfish Gulf of Maine / Georges Bank,1945,1.25,0.114
34,Acadian redfish Gulf of Maine / Georges Bank,1946,1.13,0.141
35,Acadian redfish Gulf of Maine / Georges Bank,1947,1.01,0.15
36,Acadian redfish Gulf of Maine / Georges Bank,1948,0.893,0.185
37,Acadian redfish Gulf of Maine / Georges Bank,1949,0.789,0.148
38,Acadian redfish Gulf of Maine / Georges Bank,1950,0.707,0.184
39,Acadian redfish Gulf of Maine / Georges Bank,1951,0.626,0.183
40,Acadian redfish Gulf of Maine / Georges Bank,1952,0.568,0.143
41,Acadian redfish Gulf of Maine / Georges Bank,1953,0.536,0.119
42,Acadian redfish Gulf of Maine / Georges Bank,1954,0.52,0.0943
43,Acadian redfish Gulf of Maine / Georges Bank,1955,0.511,0.103
44,Acadian redfish Gulf of Maine / Georges Bank,1956,0.5,0.108
45,Acadian redfish Gulf of Maine / Georges Bank,1957,0.483,0.145
46,Acadian redfish Gulf of Maine / Georges Bank,1958,0.46,0.132
47,Acadian redfish Gulf of Maine / Georges Bank,1959,0.443,0.133
48,Acadian redfish Gulf of Maine / Georges Bank,1960,0.433,0.0994
49,Acadian redfish Gulf of Maine / Georges Bank,1961,0.427,0.125
50,Acadian redfish Gulf of Maine / Georges Bank,1962,0.416,0.129
51,Acadian redfish Gulf of Maine / Georges Bank,1963,0.411,0.0923
52,Acadian redfish Gulf of Maine / Georges Bank,1964,0.416,0.0753
53,Acadian redfish Gulf of Maine / Georges Bank,1965,0.426,0.0711
54,Acadian redfish Gulf of Maine / Georges Bank,1966,0.437,0.0739
55,Acadian redfish Gulf of Maine / Georges Bank,1967,0.443,0.0924
56,Acadian redfish Gulf of Maine / Georges Bank,1968,0.45,0.0566
57,Acadian redfish Gulf of Maine / Georges Bank,1969,0.456,0.102
58,Acadian redfish Gulf of Maine / Georges Bank,1970,0.44,0.141
59,Acadian redfish Gulf of Maine / Georges Bank,1971,0.405,0.183
60,Acadian redfish Gulf of Maine / Georges Bank,1972,0.357,0.196
61,Acadian redfish Gulf of Maine / Georges Bank,1973,0.308,0.208
62,Acadian redfish Gulf of Maine / Georges Bank,1974,0.271,0.145
63,Acadian redfish Gulf of Maine / Georges Bank,1975,0.248,0.167
64,Acadian redfish Gulf of Maine / Georges Bank,1976,0.229,0.188
65,Acadian redfish Gulf of Maine / Georges Bank,1977,0.209,0.246
66,Acadian redfish Gulf of Maine / Georges Bank,1978,0.183,0.303
67,Acadian redfish Gulf of Maine / Georges Bank,1979,0.152,0.365
68,Acadian redfish Gulf of Maine / Georges Bank,1980,0.121,0.302
69,Acadian redfish Gulf of Maine / Georges Bank,1981,0.0972,0.3
70,Acadian redfish Gulf of Maine / Georges Bank,1982,0.0773,0.344
71,Acadian redfish Gulf of Maine / Georges Bank,1983,0.0612,0.346
72,Acadian redfish Gulf of Maine / Georges Bank,1984,0.0494,0.383
73,Acadian redfish Gulf of Maine / Georges Bank,1985,0.0396,0.448
74,Acadian redfish Gulf of Maine / Georges Bank,1986,0.033,0.364
75,Acadian redfish Gulf of Maine / Georges Bank,1987,0.0308,0.245
76,Acadian redfish Gulf of Maine / Georges Bank,1988,0.0322,0.148
77,Acadian redfish Gulf of Maine / Georges Bank,1989,0.0367,0.0759
78,Acadian redfish Gulf of Maine / Georges Bank,1990,0.0438,0.0597
79,Acadian redfish Gulf of Maine / Georges Bank,1991,0.0414,0.81
80,Acadian redfish Gulf of Maine / Georges Bank,1992,0.0366,0.114
81,Acadian redfish Gulf of Maine / Georges Bank,1993,0.0445,0.107
82,Acadian redfish Gulf of Maine / Georges Bank,1994,0.0443,0.819
83,Acadian redfish Gulf of Maine / Georges Bank,1995,0.0456,0.0738
84,Acadian redfish Gulf of Maine / Georges Bank,1996,0.0652,0.058
85,Acadian redfish Gulf of Maine / Georges Bank,1997,0.0931,0.0223
86,Acadian redfish Gulf of Maine / Georges Bank,1998,0.129,0.0244
87,Acadian redfish Gulf of Maine / Georges Bank,1999,0.173,0.00906
88,Acadian redfish Gulf of Maine / Georges Bank,2000,0.223,0.0085
89,Acadian redfish Gulf of Maine / Georges Bank,2001,0.279,0.01
90,Acadian redfish Gulf of Maine / Georges Bank,2002,0.343,0.00554
91,Acadian redfish Gulf of Maine / Georges Bank,2003,0.419,0.0053
92,Acadian redfish Gulf of Maine / Georges Bank,2004,0.509,0.00408
93,Acadian redfish Gulf of Maine / Georges Bank,2005,0.614,0.00425
94,Acadian redfish Gulf of Maine / Georges Bank,2006,0.734,0.00345
95,Acadian redfish Gulf of Maine / Georges Bank,2007,0.866,0.005
96,Albacore tuna North Atlantic,1950,2.39,0.18
97,Albacore tuna North Atlantic,1951,2.09,0.18
98,Albacore tuna North Atlantic,1952,1.87,0.19
99,Albacore tuna North Atlantic,1953,1.56,0.2
100,Albacore tuna North Atlantic,1954,1.33,0.21
101,Albacore tuna North Atlantic,1955,1.14,0.14
102,Albacore tuna North Atlantic,1956,1.05,0.16
103,Albacore tuna North Atlantic,1957,1,0.16
104,Albacore tuna North Atlantic,1958,1.75,0.2
105,Albacore tuna North Atlantic,1959,2.32,0.2
106,Albacore tuna North Atlantic,1960,2.12,0.21
107,Albacore tuna North Atlantic,1961,1.84,0.18
108,Albacore tuna North Atlantic,1962,1.65,0.23
109,Albacore tuna North Atlantic,1963,1.53,0.26
110,Albacore tuna North Atlantic,1964,1.45,0.29
111,Albacore tuna North Atlantic,1965,1.29,0.3
112,Albacore tuna North Atlantic,1966,1.08,0.25
113,Albacore tuna North Atlantic,1967,0.95,0.31
114,Albacore tuna North Atlantic,1968,0.98,0.26
115,Albacore tuna North Atlantic,1969,1.02,0.27
116,Albacore tuna North Atlantic,1970,0.85,0.26
117,Albacore tuna North Atlantic,1971,0.87,0.31
118,Albacore tuna North Atlantic,1972,0.76,0.27
119,Albacore tuna North Atlantic,1973,0.73,0.23
120,Albacore tuna North Atlantic,1974,0.78,0.25
121,Albacore tuna North Atlantic,1975,0.9,0.22
122,Albacore tuna North Atlantic,1976,1.01,0.31
123,Albacore tuna North Atlantic,1977,0.96,0.34
124,Albacore tuna North Atlantic,1978,0.77,0.32
125,Albacore tuna North Atlantic,1979,0.61,0.32
126,Albacore tuna North Atlantic,1980,0.59,0.24
127,Albacore tuna North Atlantic,1981,0.6,0.2
128,Albacore tuna North Atlantic,1982,0.71,0.23
129,Albacore tuna North Atlantic,1983,0.96,0.28
130,Albacore tuna North Atlantic,1984,0.99,0.25
131,Albacore tuna North Atlantic,1985,0.96,0.27
132,Albacore tuna North Atlantic,1986,0.88,0.31
133,Albacore tuna North Atlantic,1987,0.63,0.26
134,Albacore tuna North Atlantic,1988,0.68,0.22
135,Albacore tuna North Atlantic,1989,0.78,0.22
136,Albacore tuna North Atlantic,1990,0.95,0.25
137,Albacore tuna North Atlantic,1991,0.95,0.19
138,Albacore tuna North Atlantic,1992,0.94,0.21
139,Albacore tuna North Atlantic,1993,0.96,0.26
140,Albacore tuna North Atlantic,1994,0.81,0.27
141,Albacore tuna North Atlantic,1995,0.77,0.34
142,Albacore tuna North Atlantic,1996,0.65,0.3
143,Albacore tuna North Atlantic,1997,0.53,0.31
144,Albacore tuna North Atlantic,1998,0.43,0.26
145,Albacore tuna North Atlantic,1999,0.39,0.3
146,Albacore tuna North Atlantic,2000,0.35,0.28
147,Albacore tuna North Atlantic,2001,0.42,0.22
148,Albacore tuna North Atlantic,2002,0.55,0.2
149,Albacore tuna North Atlantic,2003,0.68,0.21
150,Albacore tuna North Atlantic,2004,0.73,0.22
151,Albacore tuna North Atlantic,2005,0.73,0.27
152,Albacore tuna North Atlantic,2006,0.65,0.28
153,Albacore tuna North Atlantic,2007,0.63,0.18
204,American Plaice NAFO-5YZ,1980,1.65,0.44
205,American Plaice NAFO-5YZ,1981,1.27,0.38
206,American Plaice NAFO-5YZ,1982,1.11,0.7
207,American Plaice NAFO-5YZ,1983,0.935,0.69
208,American Plaice NAFO-5YZ,1984,0.831,0.52
209,American Plaice NAFO-5YZ,1985,0.504,0.87
210,American Plaice NAFO-5YZ,1986,0.368,0.66
211,American Plaice NAFO-5YZ,1987,0.374,0.51
212,American Plaice NAFO-5YZ,1988,0.377,0.37
213,American Plaice NAFO-5YZ,1989,0.354,0.47
214,American Plaice NAFO-5YZ,1990,0.367,0.38
215,American Plaice NAFO-5YZ,1991,0.482,0.36
216,American Plaice NAFO-5YZ,1992,0.52,0.46
217,American Plaice NAFO-5YZ,1993,0.459,0.62
218,American Plaice NAFO-5YZ,1994,0.445,0.84
