fish,state,avgF,runLength,start,end
Acadian redfish Gulf of Maine / Georges Bank,Stable,0.028258727272727272,33,1913,1946
Acadian redfish Gulf of Maine / Georges Bank,Decline,0.14173,10,1947,1956
Acadian redfish Gulf of Maine / Georges Bank,Stable,0.16800549019607844,51,1957,2007
Albacore tuna North Atlantic,Stable,0.2276923076923077,26,1950,1975
Albacore tuna North Atlantic,Decline,0.2681818181818182,22,1976,1997
Albacore tuna North Atlantic,Stable,0.242,10,1998,2007
American Plaice NAFO-5YZ,Stable,0.41000000000000003,2,1980,1981
American Plaice NAFO-5YZ,Decline,0.695,4,1982,1985
American Plaice NAFO-5YZ,Stable,0.47818181818181815,22,1986,2007
Arrowtooth flounder Gulf of Alaska,Stable,0.002595,2,1961,1962
Arrowtooth flounder Gulf of Alaska,Recover,0.013770555555555557,18,1963,1980
Arrowtooth flounder Gulf of Alaska,Stable,NA,30,1981,2010
Atlantic cod NAFO 2J3KL,Stable,NA,3,1962,1964
Atlantic cod NAFO 2J3KL,Decline,NA,9,1965,1973
Atlantic cod NAFO 2J3KL,Stable,NA,38,1974,2011
Atlantic cod West of Scotland,Stable,0.82725,8,1981,1988
Atlantic cod West of Scotland,Decline,0.8686,10,1989,1998
Atlantic cod West of Scotland,Stable,0.9742857142857143,14,1999,2012
Atlantic croaker Mid-Atlantic Coast,Stable,0.17,1,1973,1973
Atlantic croaker Mid-Atlantic Coast,Recover,0.275,2,1974,1975
Atlantic croaker Mid-Atlantic Coast,Stable,0.2733333333333334,3,1976,1978
Atlantic croaker Mid-Atlantic Coast,Decline,0.385,4,1979,1982
Atlantic croaker Mid-Atlantic Coast,Recover,0.19,2,1983,1984
Atlantic croaker Mid-Atlantic Coast,Stable,0.07611111111111112,18,1985,2002
Atlantic Halibut NAFO-5YZ,Stable,0.033460526315789475,76,1800,1875
Atlantic Halibut NAFO-5YZ,Decline,0.14392857142857143,14,1876,1889
Atlantic Halibut NAFO-5YZ,Stable,0.15966949152542373,118,1890,2007
Atlantic herring Northwestern Atlantic Coast,Stable,0.4486666666666667,6,1967,1972
Atlantic herring Northwestern Atlantic Coast,Decline,0.5379999999999999,3,1973,1975
Atlantic herring Northwestern Atlantic Coast,Stable,0.4918461538461539,13,1976,1988
Atlantic herring Northwestern Atlantic Coast,Recover,0.273,3,1989,1991
Atlantic herring Northwestern Atlantic Coast,Stable,0.12021428571428572,14,1992,2005
Black cardinalfish East coast of North Island,Stable,0.03187631578947368,76,1923,1998
Black cardinalfish East coast of North Island,Decline,0.470625,8,1999,2006
Black cardinalfish East coast of North Island,Stable,0.5763333333333334,3,2007,2009
Black sea bass Mid-Atlantic Coast,Stable,0.6446666666666666,30,1968,1997
Black sea bass Mid-Atlantic Coast,Recover,0.8275,4,1998,2001
Black sea bass Mid-Atlantic Coast,Stable,0.7000000000000001,6,2002,2007
Black sea bass South Atlantic,Stable,0.7741212121212121,33,1978,2010
Blue Crab Chesapeake Bay,Stable,NA,2,1991,1992
Blue Crab Chesapeake Bay,Decline,NA,6,1993,1998
Blue Crab Chesapeake Bay,Stable,NA,3,1999,2001
Blue Crab Chesapeake Bay,Recover,NA,7,2002,2008
Blue Crab Chesapeake Bay,Stable,NA,1,2009,2009
Blue king crab Pribilof Islands,Stable,NA,3,1981,1983
Blue king crab Pribilof Islands,Decline,NA,2,1984,1985
